By,Gjennomsnitt,Median,Standardavvik,Kolonne brukt
KÃ¸benhavn,19.23,17.88,10.68,pm10
Stockholm,6.48,5.58,4.88,pm10
Moskva,2.64,1.91,1.82,pm10
London,13.46,5.65,14.69,pm10
Brussel,7.85,4.53,7.26,pm10
Ankara,3.45,3.25,2.0,pm10
Budapest,6.53,5.98,2.59,pm10
Oslo,5.22,4.5,3.62,pm10
Grenoble,5.38,3.96,4.19,pm10
Athen,7.92,6.12,4.69,pm10
Roma,22.76,19.4,17.93,pm10
Paris,6.1,4.32,4.87,pm10
Wien,6.6,6.01,3.77,pm10
Milano,7.7,7.11,3.87,pm10
Warszawa,6.24,6.6,2.78,pm10
Berlin,6.82,6.12,4.51,pm10
Lisboa,5.03,3.8,3.28,pm10
Kyiv,3.71,3.38,1.95,pm10
Madrid,1.12,0.82,0.79,pm10
Tallinn,4.42,3.58,3.65,pm10
Reykjavik,0.79,0.72,0.29,pm10
Dublin,10.44,0.9,15.97,pm10
Amsterdam,16.31,7.07,19.45,pm10
